               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089976,            0.066385,            0.043909,             0.19839,             0.55428,             0.21511,            0.067143,            0.062262,            0.061075,            0.044377,            0.070462,           0.0032821,           0.0032821
                   1,            0.067432,            0.057058,            0.035935,             0.20736,             0.57782,              0.2293,            0.074357,            0.058802,            0.037504,            0.041284,             0.04044,           0.0065936,           0.0065936
                   2,            0.063516,            0.047846,            0.031777,             0.26889,             0.53522,             0.34362,            0.099645,            0.055018,             0.03581,            0.035518,            0.010396,           0.0098831,           0.0098831
                   3,            0.058222,            0.047898,            0.026175,             0.63038,             0.61538,             0.65103,             0.21393,            0.050987,            0.032922,             0.02707,            0.009901,            0.009901,            0.009901
                   4,            0.051533,            0.045158,            0.021623,             0.67742,             0.62565,             0.67936,             0.29136,            0.042673,            0.032785,             0.02543,            0.009901,            0.009901,            0.009901
                   5,            0.048199,            0.044863,            0.018969,             0.75913,             0.69379,             0.73564,             0.38857,            0.037792,            0.032153,            0.019551,            0.009868,            0.009868,            0.009868
                   6,            0.045621,            0.045245,             0.01628,             0.79849,              0.7147,             0.81609,             0.40007,            0.037135,            0.031049,            0.016393,            0.009835,            0.009835,            0.009835
                   7,            0.043759,            0.043303,            0.014127,             0.73396,             0.73581,             0.78971,             0.38324,            0.036666,            0.033164,            0.014383,            0.009802,            0.009802,            0.009802
                   8,              0.0422,            0.043145,             0.01336,             0.86779,             0.73398,             0.83626,             0.41739,             0.03723,            0.032708,            0.012244,            0.009769,            0.009769,            0.009769
                   9,            0.043155,            0.043599,            0.011479,             0.87354,              0.7456,             0.84067,             0.49919,            0.033438,            0.031975,            0.010486,            0.009736,            0.009736,            0.009736
                  10,            0.041317,             0.04501,             0.01159,             0.81115,             0.75912,             0.83207,             0.46682,            0.035035,            0.032166,            0.010867,            0.009703,            0.009703,            0.009703
                  11,            0.041022,            0.043176,           0.0096663,              0.8261,             0.82761,             0.85345,             0.51665,            0.032996,             0.03127,           0.0093852,             0.00967,             0.00967,             0.00967
                  12,            0.039502,            0.042839,           0.0096826,             0.80785,             0.83431,             0.85668,             0.50616,            0.032337,            0.031511,           0.0092875,            0.009637,            0.009637,            0.009637
                  13,            0.039036,            0.041717,           0.0095008,             0.84986,              0.8028,             0.85324,               0.515,            0.031693,            0.031644,            0.010661,            0.009604,            0.009604,            0.009604
                  14,            0.039712,            0.042157,           0.0086209,             0.83513,             0.80436,               0.841,               0.524,             0.03134,            0.030636,            0.009746,            0.009571,            0.009571,            0.009571
                  15,            0.038258,            0.041185,           0.0083062,              0.8079,             0.78455,              0.8326,             0.54119,            0.029613,              0.0307,            0.012424,            0.009538,            0.009538,            0.009538
                  16,             0.03796,             0.04165,           0.0088553,             0.77742,             0.79588,             0.82127,             0.50485,             0.03268,            0.032244,            0.014197,            0.009505,            0.009505,            0.009505
                  17,            0.038522,            0.041461,           0.0076697,             0.89988,             0.76504,             0.85549,             0.52449,            0.031903,            0.031942,           0.0097605,            0.009472,            0.009472,            0.009472
                  18,            0.037215,            0.041557,           0.0084378,             0.81479,             0.73855,             0.81503,             0.49783,            0.030779,            0.031679,            0.012055,            0.009439,            0.009439,            0.009439
                  19,            0.038191,            0.041608,           0.0080101,               0.854,             0.80746,              0.8619,             0.57905,            0.028553,            0.030342,           0.0090261,            0.009406,            0.009406,            0.009406
                  20,            0.037294,            0.042336,           0.0078374,             0.84584,             0.81709,             0.85503,              0.5661,            0.029425,            0.032205,           0.0092738,            0.009373,            0.009373,            0.009373
                  21,            0.035772,             0.03969,           0.0072607,             0.85519,             0.82316,              0.8665,             0.57157,            0.028346,            0.030813,           0.0094065,             0.00934,             0.00934,             0.00934
                  22,            0.036325,            0.040021,           0.0068456,              0.8354,             0.76995,             0.84301,             0.53264,            0.029751,            0.030871,            0.013752,            0.009307,            0.009307,            0.009307
                  23,            0.035628,            0.039381,           0.0075969,             0.83428,             0.81082,             0.85223,             0.54007,            0.030637,            0.031384,           0.0097672,            0.009274,            0.009274,            0.009274
                  24,             0.03532,            0.039877,           0.0068877,              0.7854,             0.77328,             0.81729,             0.54952,            0.027996,            0.031554,            0.014192,            0.009241,            0.009241,            0.009241
                  25,            0.035386,             0.03969,           0.0070229,             0.89455,             0.76052,             0.85894,             0.53015,            0.031934,            0.031651,           0.0084813,            0.009208,            0.009208,            0.009208
                  26,              0.0361,            0.039557,           0.0066843,             0.86672,             0.81664,             0.86504,             0.57322,            0.027979,            0.031093,           0.0073583,            0.009175,            0.009175,            0.009175
                  27,            0.034362,            0.039866,           0.0064996,             0.86538,             0.80246,             0.85686,              0.5781,            0.027901,            0.030919,           0.0091108,            0.009142,            0.009142,            0.009142
                  28,            0.034703,            0.038606,            0.005942,             0.86407,             0.78933,             0.85348,             0.57631,            0.028321,            0.031016,            0.011262,            0.009109,            0.009109,            0.009109
                  29,            0.034693,            0.038961,           0.0055451,             0.83177,             0.79318,             0.83052,             0.57116,            0.027238,            0.032047,             0.01176,            0.009076,            0.009076,            0.009076
                  30,            0.034267,            0.039961,           0.0062741,             0.84059,             0.82329,             0.86418,             0.57998,            0.027878,            0.030649,           0.0094022,            0.009043,            0.009043,            0.009043
                  31,            0.033541,            0.037175,           0.0057055,             0.85051,             0.79837,             0.86308,             0.56278,            0.028298,            0.030321,           0.0099213,             0.00901,             0.00901,             0.00901
                  32,            0.033876,            0.038643,           0.0055204,             0.82282,             0.77467,             0.82705,             0.56957,            0.026981,            0.030925,            0.012761,            0.008977,            0.008977,            0.008977
                  33,            0.033732,            0.038546,           0.0059171,             0.85189,             0.78837,             0.85468,              0.5733,            0.027495,            0.031301,            0.010899,            0.008944,            0.008944,            0.008944
                  34,            0.034289,            0.037853,           0.0055072,             0.87537,               0.807,             0.85472,             0.58034,             0.02728,            0.031436,           0.0085442,            0.008911,            0.008911,            0.008911
                  35,            0.033648,            0.038276,           0.0052278,             0.84403,             0.80364,               0.858,             0.56335,            0.027786,            0.030374,           0.0097519,            0.008878,            0.008878,            0.008878
                  36,            0.032985,            0.036878,           0.0051474,             0.87798,              0.8059,             0.86518,              0.5862,            0.027024,            0.031056,           0.0085022,            0.008845,            0.008845,            0.008845
                  37,            0.033092,            0.038316,           0.0051235,             0.87587,             0.80602,             0.86212,             0.57546,            0.028283,            0.030502,           0.0085172,            0.008812,            0.008812,            0.008812
                  38,            0.034348,            0.038401,           0.0048671,             0.85615,             0.80281,             0.86269,             0.58483,            0.027576,            0.030594,            0.011117,            0.008779,            0.008779,            0.008779
                  39,            0.032963,            0.037528,           0.0049391,              0.8315,             0.80889,              0.8523,             0.58996,            0.026803,            0.030625,            0.011432,            0.008746,            0.008746,            0.008746
                  40,            0.033435,            0.038807,           0.0051998,             0.85561,             0.79656,             0.84282,             0.57342,            0.027312,            0.030025,           0.0091858,            0.008713,            0.008713,            0.008713
                  41,            0.031794,            0.036252,           0.0050582,             0.88534,             0.80938,              0.8731,             0.59586,            0.027792,             0.03023,           0.0083867,             0.00868,             0.00868,             0.00868
                  42,            0.033077,            0.038161,            0.004834,              0.8882,             0.79004,             0.85829,             0.58528,            0.026579,            0.030415,           0.0086828,            0.008647,            0.008647,            0.008647
                  43,            0.032397,            0.038153,           0.0048953,             0.86971,              0.7799,             0.85413,             0.58151,            0.026388,            0.030166,            0.010013,            0.008614,            0.008614,            0.008614
                  44,            0.032127,            0.036974,           0.0048077,             0.86585,             0.83228,             0.87009,             0.57635,            0.027067,            0.030368,           0.0078214,            0.008581,            0.008581,            0.008581
                  45,            0.031641,            0.037059,           0.0045781,             0.87549,             0.81713,             0.85441,             0.58706,            0.025851,            0.030941,           0.0083542,            0.008548,            0.008548,            0.008548
                  46,            0.031406,            0.035795,           0.0038218,             0.89476,             0.82111,             0.87303,             0.59892,             0.02648,            0.030066,           0.0088593,            0.008515,            0.008515,            0.008515
                  47,            0.032248,            0.038433,            0.003974,              0.8612,             0.80813,             0.85384,             0.59781,            0.025226,            0.031099,            0.010088,            0.008482,            0.008482,            0.008482
                  48,            0.030848,            0.035095,           0.0041065,             0.92761,             0.77523,             0.87352,             0.60403,            0.026203,            0.029699,           0.0077387,            0.008449,            0.008449,            0.008449
                  49,            0.030977,            0.036207,           0.0037985,             0.85803,             0.80203,             0.84556,             0.58259,             0.02692,            0.031011,            0.012241,            0.008416,            0.008416,            0.008416
                  50,             0.03092,            0.036316,           0.0038476,             0.89495,             0.83112,             0.88502,             0.60101,            0.027691,            0.029159,           0.0074549,            0.008383,            0.008383,            0.008383
                  51,            0.031551,            0.035812,           0.0037776,             0.88403,             0.81423,              0.8815,             0.59257,            0.026001,             0.03023,           0.0076007,             0.00835,             0.00835,             0.00835
                  52,            0.030623,            0.034346,           0.0037174,             0.86077,             0.85513,             0.87796,             0.59255,            0.026354,            0.029964,           0.0077126,            0.008317,            0.008317,            0.008317
                  53,            0.030971,            0.035618,           0.0041786,             0.83797,             0.82042,             0.86166,             0.58005,            0.026921,            0.031374,           0.0087921,            0.008284,            0.008284,            0.008284
                  54,            0.030964,            0.035158,           0.0041968,             0.85884,             0.81805,             0.86529,             0.58716,             0.02646,            0.030601,           0.0080996,            0.008251,            0.008251,            0.008251
                  55,            0.030247,            0.035453,           0.0037511,             0.89972,             0.81084,             0.87205,             0.60367,            0.026058,            0.031134,           0.0082891,            0.008218,            0.008218,            0.008218
                  56,            0.031462,            0.037172,           0.0039884,             0.85577,             0.81647,             0.85666,             0.59691,            0.026116,             0.03124,            0.010047,            0.008185,            0.008185,            0.008185
                  57,             0.02997,            0.035612,           0.0038346,             0.83672,             0.80345,             0.82718,             0.58055,             0.02565,            0.030687,            0.010137,            0.008152,            0.008152,            0.008152
                  58,            0.030162,            0.035849,           0.0040858,             0.84969,             0.86078,             0.87862,             0.59162,            0.025987,            0.030875,           0.0079694,            0.008119,            0.008119,            0.008119
                  59,            0.029829,             0.03458,           0.0036894,             0.86679,             0.84924,             0.87945,             0.59784,            0.025635,            0.030577,           0.0090846,            0.008086,            0.008086,            0.008086
                  60,             0.02977,            0.035482,           0.0035062,             0.88242,             0.82884,             0.87545,             0.60272,            0.026117,            0.030572,            0.007954,            0.008053,            0.008053,            0.008053
                  61,            0.029913,            0.035091,           0.0034462,             0.88942,             0.82328,             0.87379,             0.59423,            0.026337,            0.031892,           0.0075771,             0.00802,             0.00802,             0.00802
                  62,            0.029386,            0.035033,           0.0033649,             0.85849,             0.79936,             0.85241,             0.58791,            0.026825,            0.032101,            0.008845,            0.007987,            0.007987,            0.007987
                  63,            0.029818,            0.033869,           0.0039587,             0.86343,             0.80932,             0.86718,             0.59937,            0.025753,             0.03043,           0.0095184,            0.007954,            0.007954,            0.007954
                  64,            0.029165,            0.034769,           0.0035842,             0.83121,             0.85098,             0.87403,             0.60754,            0.025264,            0.030563,           0.0075437,            0.007921,            0.007921,            0.007921
                  65,            0.028938,            0.034514,            0.003149,              0.8447,             0.80988,             0.86335,             0.59553,            0.025721,            0.031122,           0.0087187,            0.007888,            0.007888,            0.007888
                  66,            0.029319,            0.034364,           0.0033388,             0.89489,             0.80023,             0.86782,             0.59602,            0.025596,            0.031077,           0.0087201,            0.007855,            0.007855,            0.007855
                  67,            0.029709,             0.03379,           0.0032605,             0.83996,             0.80365,             0.85719,             0.58619,            0.026348,            0.032314,           0.0089203,            0.007822,            0.007822,            0.007822
